course_title_en,course_title_fr,course_code,offering_id,offering_status,month_en,month_fr,training_hours,stream_en,stream_fr,topic_en,topic_fr,offering_language,offering_region,reg_num,reg_status,no_show,student_id,learner_classif,billing_dept_code,billing_dept_name_en,billing_dept_name_fr,client
Service Excellence for Citizens (T178),Bon service (T178),T178,1,Delivered - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Québec,1,Cancelled,0,1,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Service Excellence for Citizens (T178),Bon service (T178),T178,2,Cancelled - Normal,April,avril,22.5,Foundational,Fondamental,Service Excellence,Service pomal,English/Anglais,Pacific,2,Cancelled,0,2,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,3,Confirmed,0,3,AS-02,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,4,Confirmed,0,4,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,5,Confirmed,0,5,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,3,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,French/Français,Québec,6,Confirmed,0,6,EX-01,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,7,Confirmed,0,7,EC-06,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,8,Cancelled,0,8,EX-01,NPA,Northern Pipeline Agency,Administration du pipe-line du Nord,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,5,Delivered - Normal,April,avril,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Pacific,9,Confirmed,0,9,EX-01,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,10,Cancelled,0,10,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,11,Confirmed,0,11,AS-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,12,Confirmed,0,12,EC-04,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,13,Confirmed,0,13,AS-02,TBS,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,
Access to Information in the Government of Canada (I701),Accéder aux infos (I701),I701,7,Delivered - Normal,May,mai,7.5,Specialized,Spécialisé,ATIP,Tu fais quoI?!,English/Anglais,Atlantic,14,Cancelled,0,14,AS-04,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,15,Cancelled,0,15,EC-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,16,Cancelled,0,16,EC-02,RCM,Royal Canadian Mounted Police,Gendarmerie royale du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,4,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Prairie,17,Confirmed,0,17,AS-02,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,6,Delivered - Normal,May,mai,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,Ontario,18,Cancelled,0,18,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,8,Delivered - Normal,April,avril,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,19,Cancelled,0,19,PM-03,SVC,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,
Manager Development Program Phase 2 (G413),Dév d'un gestionnaire (G413),G413,9,Delivered - Normal,June,juin,37.5,Leadership,Leadership,Key Transition Programs,Programmes de transition clés,English/Anglais,NCR,20,Cancelled,0,20,PM-03,CES,Canada School of Public Service,École de la fonction publique du Canada,
